student_id,gender,age,class_level,attendance_rate,math_score,english_score,science_score,study_hours,parental_support,food_security,at_risk
STUD02903,Male,15,JSS1,92.7,57.1,58.5,30.8,17,Yes,Yes,No
STUD02904,Female,10,SS2,92.1,43.1,62.9,75.1,11,Yes,Yes,No
STUD02905,Male,10,SS3,84.7,31.7,61.6,56.6,1,Yes,Yes,No
STUD02906,Female,15,SS3,65.7,69.0,42.7,52.7,17,No,No,No
STUD02907,Male,10,SS3,88.5,81.2,100.0,41.9,14,No,Yes,No
STUD02908,Female,19,JSS3,65.9,45.3,63.9,65.2,13,No,Yes,No
STUD02909,Male,19,SS2,100.0,84.0,59.6,77.3,3,Yes,Yes,No
STUD02910,Male,19,SS3,80.5,67.5,53.5,71.0,6,No,Yes,No
STUD02911,Male,19,JSS2,100.0,76.2,57.2,26.1,11,Yes,No,No
STUD02912,Male,16,SS3,100.0,41.8,68.6,61.3,14,Yes,Yes,No
STUD02913,Male,13,SS1,85.2,65.1,74.3,48.4,11,Yes,Yes,No
STUD02914,Male,15,JSS2,89.5,42.5,50.0,71.4,4,Yes,Yes,No
STUD02915,Female,18,JSS2,87.4,60.2,82.8,21.2,20,Yes,Yes,No
STUD02916,Male,17,JSS2,82.5,59.9,52.7,49.1,15,Yes,Yes,No
STUD02917,Female,12,SS1,66.8,64.0,62.7,44.0,22,No,Yes,No
STUD02918,Female,13,SS2,97.6,60.5,73.2,64.4,9,Yes,No,No
STUD02919,Female,11,SS1,100.0,82.7,64.4,43.5,3,Yes,Yes,No
STUD02920,Female,11,JSS1,86.8,40.8,49.4,47.1,24,Yes,Yes,No
STUD02921,Male,16,SS3,100.0,52.6,62.3,55.7,12,Yes,Yes,No
STUD02922,Female,20,JSS2,76.3,67.1,87.1,65.7,16,No,Yes,No
STUD02923,Female,17,SS3,59.4,54.9,42.9,58.4,22,No,Yes,Yes
STUD02924,Male,12,JSS3,91.9,65.5,37.0,70.3,19,Yes,Yes,No
STUD02925,Male,16,SS3,74.8,73.8,54.1,63.1,18,Yes,Yes,No
STUD02926,Male,17,SS1,78.5,53.7,81.8,58.0,14,Yes,Yes,No
STUD02927,Male,13,SS1,82.9,53.1,75.0,64.9,12,No,Yes,No
STUD02928,Female,14,JSS3,80.1,38.8,69.4,77.8,23,Yes,Yes,No
STUD02929,Male,15,JSS1,90.2,64.5,47.1,50.1,15,Yes,Yes,No
STUD02930,Female,13,JSS1,100.0,52.9,47.9,59.1,5,Yes,Yes,No
STUD02931,Male,13,SS1,84.5,59.7,41.1,58.9,2,Yes,Yes,No
STUD02932,Female,18,JSS2,83.2,49.8,47.4,46.1,13,Yes,Yes,No
STUD02933,Female,15,JSS2,74.0,49.1,33.3,90.0,5,No,Yes,No
STUD02934,Male,19,SS3,77.6,80.4,41.1,40.9,5,Yes,No,No
STUD02935,Female,10,SS3,70.6,62.0,47.3,56.0,4,No,Yes,No
STUD02936,Female,20,JSS3,79.1,44.8,70.8,47.0,7,Yes,Yes,No
STUD02937,Male,10,SS2,92.0,68.6,56.1,38.8,4,Yes,Yes,No
STUD02938,Female,16,SS1,76.3,92.3,53.4,40.1,1,Yes,Yes,No
STUD02939,Female,20,SS2,78.6,75.5,40.2,68.2,11,Yes,No,No
STUD02940,Female,13,SS3,77.0,37.5,56.2,44.4,24,No,Yes,No
STUD02941,Female,19,SS2,80.4,58.8,76.1,68.4,15,Yes,Yes,No
STUD02942,Male,19,JSS2,100.0,71.1,71.1,64.2,0,No,Yes,No
STUD02943,Female,20,SS2,92.1,94.1,66.2,40.8,0,Yes,Yes,No
STUD02944,Male,11,JSS1,87.8,43.9,89.2,59.0,21,Yes,Yes,No
STUD02945,Female,18,JSS3,84.1,49.7,73.0,67.1,23,No,Yes,No
STUD02946,Male,18,SS1,78.0,70.9,38.7,33.5,16,Yes,Yes,No
STUD02947,Male,18,JSS2,86.4,68.5,68.1,60.0,19,Yes,Yes,No
STUD02948,Male,15,JSS2,84.1,48.7,47.9,43.8,10,Yes,No,No
STUD02949,Male,19,JSS3,79.5,65.5,57.3,32.3,13,Yes,Yes,No
STUD02950,Male,13,SS3,93.1,43.7,53.5,41.4,6,Yes,Yes,No
STUD02951,Female,15,SS3,87.1,60.3,88.4,30.4,12,No,No,No
STUD02952,Female,17,JSS2,93.3,50.5,57.3,32.2,9,Yes,Yes,No
STUD02953,Female,19,SS1,79.5,77.4,55.8,26.3,20,Yes,Yes,No
STUD02954,Female,17,SS3,75.4,68.2,55.3,34.4,18,Yes,No,No
STUD02955,Male,13,JSS2,79.5,45.3,47.5,69.8,2,Yes,Yes,No
STUD02956,Female,18,SS3,100.0,88.6,37.1,68.4,9,Yes,Yes,No
STUD02957,Male,19,JSS3,86.0,53.9,49.9,31.3,21,Yes,Yes,No
STUD02958,Male,10,SS1,77.6,41.3,67.6,52.8,0,Yes,Yes,No
STUD02959,Female,15,SS2,72.0,64.1,60.6,59.4,12,Yes,Yes,No
STUD02960,Female,19,SS1,70.3,41.9,57.2,78.0,7,No,Yes,No
STUD02961,Male,13,SS1,97.0,54.3,58.6,79.7,15,Yes,Yes,No
STUD02962,Male,19,SS1,72.1,55.5,62.9,57.5,5,Yes,Yes,No
STUD02963,Male,15,SS2,83.3,67.8,54.7,46.4,23,Yes,Yes,No
STUD02964,Female,12,SS1,93.7,75.4,58.0,54.7,0,No,Yes,No
STUD02965,Female,16,JSS2,75.5,77.5,62.2,47.5,19,Yes,Yes,No
STUD02966,Female,20,JSS2,68.4,47.2,60.0,63.3,1,Yes,Yes,No
STUD02967,Male,13,SS1,92.6,69.2,64.8,77.3,2,Yes,Yes,No
STUD02968,Male,11,SS3,86.2,56.7,64.0,48.2,15,No,Yes,No
STUD02969,Male,13,SS2,82.4,68.0,59.5,35.2,12,No,Yes,No
STUD02970,Female,17,JSS3,81.9,59.7,69.6,51.0,10,Yes,Yes,No
STUD02971,Male,18,JSS1,71.8,99.2,55.1,90.0,23,No,Yes,No
STUD02972,Male,10,SS2,89.8,45.5,72.4,38.9,24,No,No,No
STUD02973,Male,13,JSS3,100.0,70.9,61.5,57.7,4,No,Yes,No
STUD02974,Male,16,SS2,85.5,52.1,53.3,70.7,15,Yes,Yes,No
STUD02975,Female,20,JSS2,81.5,78.8,64.1,79.4,17,No,No,No
STUD02976,Male,17,SS1,88.2,47.5,70.3,62.5,7,Yes,Yes,No
STUD02977,Male,14,SS2,86.2,58.3,52.8,78.9,15,Yes,Yes,No
STUD02978,Male,13,JSS1,100.0,48.7,78.5,54.2,14,Yes,Yes,No
STUD02979,Male,14,JSS1,100.0,74.0,70.2,50.4,1,Yes,No,No
STUD02980,Male,16,JSS1,85.2,83.0,50.5,33.2,1,Yes,Yes,No
STUD02981,Female,11,SS2,93.3,48.1,100.0,60.7,23,No,Yes,No
STUD02982,Female,17,SS1,78.7,44.4,66.0,26.2,9,Yes,Yes,No
STUD02983,Female,16,SS3,81.4,45.1,51.1,59.1,18,Yes,No,No
STUD02984,Female,11,JSS3,91.4,89.7,47.0,61.5,13,No,Yes,No
STUD02985,Female,18,JSS3,93.1,76.8,63.5,46.1,1,No,No,No
STUD02986,Male,14,JSS2,85.6,58.7,76.0,67.3,14,No,Yes,No
STUD02987,Female,20,SS1,86.2,77.2,64.3,46.5,1,No,Yes,No
STUD02988,Male,16,SS2,100.0,61.8,61.5,58.7,14,Yes,Yes,No
STUD02989,Male,16,SS3,87.2,86.3,84.3,59.4,18,Yes,Yes,No
STUD02990,Male,14,JSS1,77.6,70.3,62.9,59.4,23,Yes,Yes,No
STUD02991,Male,12,JSS2,81.6,51.7,57.7,50.7,7,No,Yes,No
STUD02992,Female,10,SS1,68.4,35.8,60.5,66.0,22,Yes,Yes,No
STUD02993,Female,18,SS3,91.0,41.5,36.5,47.5,23,Yes,Yes,Yes
STUD02994,Male,18,JSS1,84.5,50.3,35.6,42.8,5,Yes,Yes,Yes
STUD02995,Male,20,SS2,96.3,62.5,51.9,64.6,5,No,No,No
STUD02996,Male,13,JSS1,68.2,77.0,31.8,44.4,17,No,No,No
STUD02997,Male,13,JSS3,88.8,37.0,55.3,63.1,2,No,Yes,No
STUD02998,Female,11,SS3,78.5,60.4,74.2,37.5,14,Yes,Yes,No
STUD02999,Female,15,SS1,82.6,72.1,72.1,40.3,2,Yes,Yes,No
STUD03000,Female,17,SS2,83.1,58.5,60.5,48.3,12,Yes,No,No
STUD03001,Male,17,JSS2,63.3,43.3,33.1,83.5,6,Yes,Yes,No
STUD03002,Female,19,SS3,78.6,89.3,27.9,66.6,11,No,Yes,No
STUD03003,Male,18,SS1,77.3,57.1,51.7,64.8,17,Yes,Yes,No
STUD03004,Male,18,SS2,91.3,90.8,74.1,38.1,4,No,Yes,No
STUD03005,Female,16,SS2,92.0,66.2,48.5,65.6,17,No,Yes,No
STUD03006,Male,20,SS1,77.4,77.5,54.1,57.3,20,No,Yes,No
STUD03007,Male,11,JSS1,70.5,46.4,56.3,64.8,8,Yes,Yes,No
STUD03008,Male,11,JSS3,75.3,69.4,54.8,66.7,17,No,Yes,No
STUD03009,Female,13,SS3,70.1,61.1,57.4,48.9,14,Yes,Yes,No
STUD03010,Male,10,SS3,88.9,74.1,46.1,69.0,3,Yes,Yes,No
STUD03011,Female,16,SS2,85.2,59.5,75.7,88.8,14,Yes,Yes,No
STUD03012,Female,12,JSS2,80.2,69.8,80.3,85.2,22,Yes,Yes,No
STUD03013,Male,11,SS3,63.6,72.7,40.5,62.8,21,No,Yes,No
STUD03014,Male,18,JSS2,82.2,46.7,62.0,54.5,7,Yes,Yes,No
STUD03015,Male,20,SS3,81.9,63.5,58.7,48.8,2,No,Yes,No
STUD03016,Male,15,JSS1,70.6,82.8,91.2,46.2,4,No,Yes,No
STUD03017,Female,11,JSS2,89.9,50.9,46.2,46.2,18,Yes,Yes,No
STUD03018,Female,18,JSS2,72.1,81.0,85.0,50.1,18,Yes,Yes,No
STUD03019,Male,19,SS2,68.3,63.4,74.1,21.6,24,No,Yes,No
STUD03020,Female,11,SS2,77.7,42.1,70.4,38.5,11,Yes,Yes,No
STUD03021,Female,14,JSS2,88.0,65.1,65.7,38.7,12,Yes,Yes,No
STUD03022,Female,14,SS3,82.6,41.6,55.8,39.1,11,Yes,Yes,No
STUD03023,Male,16,SS1,70.9,69.4,69.1,29.2,5,Yes,Yes,No
STUD03024,Female,11,JSS1,87.9,92.7,48.4,47.8,22,No,Yes,No
STUD03025,Female,15,JSS1,78.4,69.7,35.5,49.8,16,No,Yes,No
STUD03026,Female,13,SS1,94.7,51.1,70.0,70.2,15,Yes,No,No
STUD03027,Female,18,SS3,83.5,51.2,69.4,43.3,0,Yes,Yes,No
STUD03028,Female,11,SS1,89.5,48.6,70.5,55.6,13,Yes,Yes,No
STUD03029,Female,11,SS3,86.8,62.5,76.2,65.5,18,No,No,No
STUD03030,Female,17,JSS3,96.6,67.3,87.3,54.8,0,Yes,Yes,No
STUD03031,Female,11,JSS1,95.4,65.2,39.7,31.5,13,Yes,Yes,No
STUD03032,Male,17,JSS2,92.8,59.1,66.1,66.8,15,Yes,Yes,No
STUD03033,Female,12,JSS2,75.7,87.6,66.8,31.0,0,No,Yes,No
STUD03034,Female,10,SS2,75.4,38.7,58.9,60.7,19,Yes,Yes,No
STUD03035,Female,20,SS3,92.5,76.8,80.1,58.5,22,No,Yes,No
STUD03036,Female,12,SS2,81.5,66.1,76.6,42.5,21,Yes,Yes,No
STUD03037,Male,16,SS1,63.0,56.4,84.1,53.7,3,No,No,No
STUD03038,Female,19,SS1,98.0,40.9,56.2,46.7,0,No,Yes,No
STUD03039,Male,18,JSS3,63.8,43.1,84.9,61.7,16,Yes,Yes,No
STUD03040,Male,13,SS1,100.0,47.7,51.8,50.0,12,Yes,Yes,No
STUD03041,Female,13,JSS2,88.1,73.9,58.3,56.4,0,No,Yes,No
STUD03042,Female,15,JSS2,73.8,71.6,72.3,64.0,24,Yes,No,No
STUD03043,Female,13,SS2,84.2,29.5,61.6,80.3,10,Yes,Yes,No
STUD03044,Male,13,SS3,95.1,41.3,79.3,81.3,0,No,Yes,No
STUD03045,Male,16,SS3,85.6,59.6,61.7,56.6,19,Yes,Yes,No
STUD03046,Female,12,SS3,85.6,57.6,60.1,57.6,12,Yes,No,No
STUD03047,Female,13,SS2,83.6,23.8,72.8,27.2,23,Yes,No,Yes
STUD03048,Male,10,SS3,95.5,60.0,72.6,79.4,23,Yes,Yes,No
STUD03049,Male,19,JSS2,93.9,37.2,64.3,64.7,18,Yes,Yes,No
STUD03050,Female,12,SS2,70.4,82.0,40.8,46.1,10,Yes,Yes,No
STUD03051,Male,14,SS1,74.9,79.4,76.6,83.0,9,Yes,Yes,No
STUD03052,Female,19,SS2,99.6,89.7,64.4,50.6,6,No,Yes,No
STUD03053,Male,10,JSS1,74.4,57.5,68.1,62.0,20,No,Yes,No
STUD03054,Male,11,SS1,88.6,69.5,66.7,82.7,4,Yes,Yes,No
STUD03055,Female,17,JSS1,98.6,81.0,47.4,77.4,2,Yes,Yes,No
STUD03056,Male,14,JSS3,86.1,81.7,61.2,71.3,2,No,Yes,No
STUD03057,Female,17,SS3,70.6,55.5,68.1,31.6,18,Yes,Yes,No
STUD03058,Female,18,JSS2,77.2,36.4,67.7,73.7,19,Yes,Yes,No
STUD03059,Female,14,SS1,92.2,89.0,68.2,45.5,11,Yes,Yes,No
STUD03060,Male,17,SS2,100.0,100.0,43.2,67.6,1,Yes,Yes,No
STUD03061,Male,17,JSS2,64.8,29.5,82.5,62.1,22,Yes,Yes,No
STUD03062,Female,16,SS1,98.8,68.6,56.3,31.8,15,Yes,No,No
STUD03063,Male,11,JSS1,73.0,82.1,63.0,39.3,0,Yes,Yes,No
STUD03064,Female,13,JSS2,86.0,33.2,46.6,75.3,10,Yes,Yes,No
STUD03065,Male,20,SS2,91.0,76.5,61.2,57.6,23,No,No,No
STUD03066,Male,16,JSS1,85.1,33.6,55.2,43.5,4,Yes,Yes,Yes
STUD03067,Male,15,JSS3,99.3,59.2,75.0,72.5,4,Yes,Yes,No
STUD03068,Female,12,SS3,80.2,24.6,79.0,66.1,8,Yes,No,No
STUD03069,Female,18,SS3,86.0,86.3,72.5,51.2,18,Yes,Yes,No
STUD03070,Female,10,JSS3,98.2,40.7,76.6,58.3,5,No,Yes,No
STUD03071,Male,20,JSS1,74.1,91.0,70.9,68.9,10,No,Yes,No
STUD03072,Male,17,SS2,95.8,56.8,42.8,44.4,8,No,No,No
STUD03073,Male,12,JSS3,78.4,70.1,48.3,61.8,4,Yes,Yes,No
STUD03074,Male,14,JSS2,95.0,68.7,66.2,48.0,13,Yes,Yes,No
STUD03075,Male,16,JSS2,81.5,46.2,49.6,53.2,12,No,Yes,No
STUD03076,Male,18,SS3,100.0,54.1,63.4,65.9,6,Yes,Yes,No
STUD03077,Male,12,SS3,74.2,63.4,47.1,41.6,19,Yes,Yes,No
STUD03078,Female,15,JSS1,83.1,40.5,37.0,69.1,24,Yes,Yes,No
STUD03079,Male,19,JSS1,100.0,38.0,80.1,69.1,1,Yes,Yes,No
STUD03080,Male,13,SS1,73.8,78.6,85.0,43.6,7,Yes,Yes,No
STUD03081,Male,14,SS2,99.0,67.6,58.5,68.8,21,No,No,No
STUD03082,Female,18,SS2,79.3,47.6,45.4,64.5,9,Yes,Yes,No
STUD03083,Male,14,SS2,84.2,32.8,60.0,66.4,6,Yes,No,No
STUD03084,Male,10,JSS2,88.8,67.8,83.1,38.4,5,Yes,Yes,No
STUD03085,Female,15,JSS2,73.2,45.6,69.2,58.4,7,Yes,Yes,No
STUD03086,Male,12,SS3,78.6,72.1,46.5,49.4,23,No,Yes,No
STUD03087,Female,17,JSS3,95.8,38.4,53.9,72.5,14,Yes,Yes,No
STUD03088,Male,10,JSS2,99.3,75.0,69.5,34.6,24,Yes,Yes,No
STUD03089,Female,15,JSS2,100.0,41.2,77.9,53.0,17,No,Yes,No
STUD03090,Male,18,SS3,84.5,31.5,65.5,65.4,23,No,No,No
STUD03091,Male,14,SS1,79.1,52.5,75.8,52.2,8,Yes,Yes,No
STUD03092,Female,10,JSS2,77.6,71.7,50.8,66.8,22,No,Yes,No
STUD03093,Male,18,JSS2,82.3,96.6,62.5,67.9,19,No,Yes,No
STUD03094,Male,15,SS1,78.3,48.0,53.6,56.8,5,No,Yes,No
STUD03095,Male,14,JSS3,100.0,79.2,65.8,89.6,12,Yes,Yes,No
STUD03096,Female,12,SS3,99.3,77.8,67.1,70.3,15,Yes,Yes,No
STUD03097,Male,13,SS2,82.6,49.4,95.9,57.4,20,Yes,Yes,No
STUD03098,Male,17,JSS2,89.6,61.5,62.3,42.0,17,Yes,Yes,No
STUD03099,Male,17,SS3,70.3,57.6,70.5,83.9,13,No,Yes,No
STUD03100,Female,19,JSS2,92.8,42.3,74.4,71.1,22,Yes,Yes,No
STUD03101,Male,12,JSS3,75.7,53.8,55.3,46.1,10,Yes,No,No
STUD03102,Male,11,JSS2,68.9,50.0,67.1,69.6,24,Yes,Yes,No
STUD03103,Male,13,JSS2,74.5,89.0,52.3,33.7,8,Yes,Yes,No
STUD03104,Female,13,JSS3,83.7,57.9,70.1,30.4,11,Yes,Yes,No
STUD03105,Male,16,JSS3,76.6,59.9,58.8,52.1,7,No,Yes,No
STUD03106,Female,12,JSS2,82.6,58.3,54.7,54.8,1,Yes,Yes,No
STUD03107,Female,10,SS2,76.3,48.2,62.3,56.5,0,No,Yes,No
STUD03108,Male,13,SS3,100.0,46.0,67.5,58.7,18,Yes,No,No
STUD03109,Female,13,SS1,90.4,58.4,74.9,65.6,13,Yes,No,No
STUD03110,Male,16,SS3,63.4,97.4,59.0,60.3,5,Yes,Yes,No
STUD03111,Male,15,SS3,100.0,75.6,51.8,70.6,2,Yes,Yes,No
STUD03112,Female,16,JSS3,75.5,48.1,50.2,49.4,3,No,No,No
STUD03113,Male,14,JSS1,79.3,65.6,38.8,65.9,22,Yes,Yes,No
STUD03114,Male,11,JSS2,100.0,68.4,56.3,51.7,7,No,No,No
STUD03115,Female,15,JSS3,80.2,40.3,65.9,75.8,10,Yes,Yes,No
STUD03116,Female,19,JSS1,76.2,59.3,46.3,37.8,10,No,Yes,No
STUD03117,Female,18,JSS3,73.9,69.2,62.7,100.0,15,No,Yes,No
STUD03118,Male,19,SS2,94.2,52.7,59.6,54.4,11,No,Yes,No
STUD03119,Male,14,JSS2,70.2,34.8,67.1,46.6,14,No,No,No
STUD03120,Male,16,JSS1,90.2,70.4,66.7,41.7,7,No,Yes,No
STUD03121,Female,19,JSS1,92.4,58.7,35.0,66.7,11,Yes,Yes,No
STUD03122,Male,12,SS2,87.6,46.2,48.2,65.5,3,No,Yes,No
STUD03123,Male,20,SS1,78.0,31.5,50.5,79.5,6,Yes,No,No
STUD03124,Female,17,JSS2,86.6,59.0,35.3,32.1,2,Yes,Yes,Yes
STUD03125,Male,10,SS2,73.5,51.6,51.7,61.6,21,Yes,Yes,No
STUD03126,Female,18,SS3,74.9,58.9,33.2,60.2,23,No,Yes,No
STUD03127,Female,17,SS2,94.6,62.5,67.7,59.0,18,Yes,Yes,No
STUD03128,Male,19,SS1,100.0,65.6,52.1,59.5,4,Yes,Yes,No
STUD03129,Female,13,JSS3,94.9,37.8,57.0,43.3,13,No,No,No
STUD03130,Female,13,SS2,69.1,77.5,56.7,57.4,1,No,No,No
STUD03131,Male,13,SS1,84.3,94.9,86.8,63.8,8,No,Yes,No
STUD03132,Female,17,SS1,82.0,56.0,61.1,42.7,19,No,Yes,No
STUD03133,Female,15,SS1,69.6,58.9,54.1,61.7,18,Yes,Yes,No
STUD03134,Male,17,SS1,100.0,68.7,49.8,56.8,7,Yes,Yes,No
STUD03135,Female,10,SS2,76.5,68.4,46.4,50.6,22,Yes,Yes,No
STUD03136,Male,11,JSS2,83.1,61.5,47.2,59.0,5,Yes,Yes,No
STUD03137,Female,11,SS2,91.6,69.3,39.8,57.9,16,Yes,Yes,No
STUD03138,Male,17,JSS3,91.1,61.3,54.3,71.9,21,Yes,Yes,No
STUD03139,Male,14,SS1,69.2,43.4,71.4,86.2,14,Yes,Yes,No
STUD03140,Male,18,JSS1,72.5,51.8,60.5,45.6,24,Yes,Yes,No
STUD03141,Female,11,SS3,76.3,80.1,60.3,73.4,12,No,Yes,No
STUD03142,Female,19,JSS1,76.7,58.8,44.1,57.3,2,No,Yes,No
STUD03143,Female,17,SS3,93.3,40.7,74.3,49.6,23,Yes,Yes,No
STUD03144,Male,19,JSS1,60.6,57.3,68.5,69.7,16,No,No,No
STUD03145,Female,17,JSS2,77.2,60.9,45.0,71.5,17,Yes,Yes,No
STUD03146,Male,16,JSS1,99.5,61.5,62.9,45.2,2,Yes,Yes,No
STUD03147,Female,15,JSS2,88.6,76.1,39.4,88.2,5,Yes,No,No
STUD03148,Male,11,JSS1,82.3,58.4,45.6,68.8,6,Yes,Yes,No
STUD03149,Female,12,SS2,80.1,61.4,31.9,88.1,19,Yes,Yes,No
STUD03150,Female,11,SS3,98.7,41.4,64.8,40.6,4,No,Yes,No
STUD03151,Female,10,SS3,71.2,54.4,61.4,61.2,5,Yes,Yes,No
STUD03152,Male,15,SS3,78.8,50.4,76.5,48.0,6,Yes,Yes,No
STUD03153,Female,18,SS3,93.0,38.2,56.4,59.5,21,Yes,Yes,No
STUD03154,Female,18,SS3,87.3,66.3,64.6,65.6,23,Yes,No,No
STUD03155,Male,11,JSS2,77.0,76.2,87.1,43.0,15,Yes,Yes,No
STUD03156,Female,11,JSS3,87.0,82.9,51.1,74.5,9,Yes,Yes,No
STUD03157,Male,17,JSS2,99.6,77.3,63.5,40.8,22,Yes,No,No
STUD03158,Female,13,SS3,81.0,47.6,58.1,57.8,8,Yes,Yes,No
STUD03159,Female,13,SS2,92.4,48.7,71.1,66.3,22,No,Yes,No
STUD03160,Male,18,JSS2,100.0,56.1,71.0,48.4,0,Yes,Yes,No
STUD03161,Male,10,JSS3,81.8,51.9,75.3,78.3,4,No,Yes,No
STUD03162,Male,19,JSS1,93.8,93.8,68.2,64.7,14,Yes,No,No
STUD03163,Male,14,SS2,98.5,35.2,81.5,53.5,23,No,Yes,No
STUD03164,Female,14,SS1,85.7,69.9,75.4,66.5,16,Yes,Yes,No
STUD03165,Male,20,JSS2,95.2,68.1,33.9,55.6,20,Yes,Yes,No
STUD03166,Male,20,SS3,94.1,55.3,51.2,52.8,10,Yes,Yes,No
STUD03167,Female,12,JSS1,91.2,70.5,49.7,78.1,24,Yes,Yes,No
STUD03168,Female,19,SS2,63.7,51.6,65.9,25.6,9,No,Yes,No
STUD03169,Female,11,JSS3,85.1,40.9,74.9,70.6,21,Yes,Yes,No
STUD03170,Male,18,JSS3,61.8,67.8,50.6,52.2,14,No,No,No
STUD03171,Male,10,SS3,74.5,98.2,69.4,57.4,8,Yes,Yes,No
STUD03172,Female,17,SS3,80.6,52.0,79.3,54.8,5,Yes,Yes,No
STUD03173,Male,13,JSS2,74.0,38.7,47.2,45.6,19,Yes,Yes,Yes
STUD03174,Female,13,SS3,74.0,49.2,86.8,70.3,2,No,Yes,No
STUD03175,Female,19,JSS1,100.0,54.7,59.6,98.4,14,Yes,Yes,No
STUD03176,Female,16,JSS2,78.2,71.7,61.4,71.3,23,Yes,Yes,No
STUD03177,Female,13,SS3,70.5,69.3,64.7,66.8,1,Yes,Yes,No
STUD03178,Female,18,SS1,84.2,70.9,62.2,61.2,5,Yes,Yes,No
STUD03179,Male,16,SS3,78.6,67.0,38.0,32.2,17,Yes,Yes,No
STUD03180,Female,19,SS1,86.0,53.2,73.9,69.9,5,Yes,Yes,No
STUD03181,Female,19,JSS1,79.6,51.8,43.9,36.7,15,No,Yes,Yes
STUD03182,Male,20,SS1,100.0,58.1,76.4,66.4,9,Yes,Yes,No
STUD03183,Male,17,SS2,84.8,82.1,79.1,62.5,6,Yes,Yes,No
STUD03184,Male,18,SS3,84.5,50.6,76.3,65.4,1,Yes,No,No
STUD03185,Male,17,SS2,70.4,57.6,64.1,31.9,9,No,Yes,No
STUD03186,Male,18,JSS2,86.2,38.1,96.8,62.3,17,No,Yes,No
STUD03187,Male,17,JSS2,74.7,64.9,74.3,89.9,22,No,Yes,No
STUD03188,Female,10,SS1,100.0,79.1,52.4,47.4,6,No,Yes,No
STUD03189,Female,18,JSS1,62.0,81.8,47.7,40.8,9,Yes,Yes,No
STUD03190,Male,15,JSS3,100.0,61.7,58.4,33.5,24,Yes,Yes,No
STUD03191,Male,18,SS3,94.4,54.5,59.9,63.3,11,Yes,Yes,No
STUD03192,Male,16,JSS3,90.4,46.8,88.2,58.1,10,No,Yes,No
STUD03193,Female,20,SS3,86.0,40.3,49.9,72.0,18,Yes,Yes,No
STUD03194,Female,16,SS2,76.6,69.9,65.0,39.8,12,No,Yes,No
STUD03195,Male,17,SS3,91.5,51.9,63.6,64.9,1,No,Yes,No
STUD03196,Female,13,JSS2,100.0,73.3,48.4,65.5,1,Yes,Yes,No
STUD03197,Male,11,SS1,88.5,34.1,51.0,37.3,18,Yes,Yes,Yes
STUD03198,Female,16,JSS3,89.8,30.6,51.1,69.8,8,Yes,Yes,No
STUD03199,Male,15,SS2,75.7,63.4,92.7,98.8,21,No,Yes,No
STUD03200,Female,20,JSS3,83.1,69.9,51.2,47.0,2,Yes,Yes,No
STUD03201,Female,15,SS3,79.8,28.5,46.1,60.0,21,No,Yes,Yes
STUD03202,Male,13,JSS1,76.7,69.1,63.6,51.3,19,Yes,No,No
STUD03203,Female,20,SS2,91.0,66.7,63.0,67.4,3,No,No,No
STUD03204,Male,19,SS2,70.5,56.7,27.2,57.0,4,No,Yes,No
STUD03205,Female,14,JSS1,89.8,70.2,62.3,47.7,4,Yes,Yes,No
STUD03206,Female,16,JSS1,96.6,75.2,46.9,68.8,23,Yes,Yes,No
STUD03207,Male,19,JSS2,55.8,57.4,65.6,56.3,22,Yes,No,Yes
STUD03208,Male,18,SS1,93.8,50.5,48.6,49.3,1,Yes,Yes,No
STUD03209,Male,11,SS1,77.2,85.1,67.9,48.6,10,Yes,Yes,No
STUD03210,Female,20,JSS1,83.0,84.6,41.6,59.8,14,Yes,Yes,No
STUD03211,Female,12,JSS3,71.0,78.2,49.9,52.4,12,Yes,Yes,No
STUD03212,Female,15,SS2,74.5,48.6,49.0,51.8,23,No,Yes,No
STUD03213,Male,13,JSS3,85.7,87.4,58.4,52.6,24,No,Yes,No
STUD03214,Male,12,SS2,88.3,65.6,65.3,61.7,19,Yes,Yes,No
STUD03215,Female,15,SS3,73.0,63.0,64.3,56.2,21,Yes,Yes,No
STUD03216,Male,20,JSS2,76.7,61.3,50.0,80.6,5,Yes,Yes,No
STUD03217,Male,17,JSS3,94.0,72.9,87.6,52.7,22,Yes,Yes,No
STUD03218,Female,14,SS3,84.3,57.2,60.6,58.0,22,Yes,Yes,No
STUD03219,Female,20,SS3,94.7,16.7,68.2,35.3,1,Yes,Yes,Yes
STUD03220,Female,13,SS1,91.2,77.5,64.5,67.2,24,No,Yes,No
STUD03221,Female,17,JSS1,80.7,62.4,62.1,57.8,21,Yes,Yes,No
STUD03222,Female,13,JSS2,76.2,73.6,45.6,55.4,24,No,Yes,No
STUD03223,Male,13,JSS1,76.6,81.1,52.8,89.9,0,Yes,Yes,No
STUD03224,Female,18,JSS1,100.0,67.4,36.0,48.5,7,No,Yes,No
STUD03225,Female,20,JSS3,94.3,70.8,68.7,15.4,21,Yes,Yes,No
STUD03226,Female,13,SS2,68.8,42.0,100.0,54.8,24,No,Yes,No
STUD03227,Female,19,JSS2,99.3,86.1,50.5,49.5,3,Yes,Yes,No
STUD03228,Male,15,SS3,93.6,63.7,65.2,60.4,18,No,Yes,No
STUD03229,Male,11,SS1,64.3,31.1,32.9,68.1,11,Yes,Yes,Yes
