student_id,gender,age,class_level,attendance_rate,math_score,english_score,science_score,prev_math_score,prev_english_score,prev_science_score,study_hours,parental_support,food_security,at_risk
STUD02440,Male,18,JSS3,91.5,77.4,65.5,80.4,70.7,60.7,79.0,3,Yes,Yes,No
STUD02441,Male,10,JSS2,83.3,34.5,64.3,29.4,31.9,70.1,34.8,3,Yes,Yes,Yes
STUD02442,Male,11,JSS1,91.6,28.3,64.3,46.1,34.3,61.0,43.2,8,Yes,Yes,No
STUD02443,Female,20,SS2,74.7,52.2,53.2,42.5,50.5,50.0,40.6,21,No,Yes,No
STUD02444,Male,16,JSS1,95.9,60.8,53.4,61.3,59.7,59.0,69.7,3,Yes,No,No
STUD02445,Female,16,SS1,70.9,86.5,86.7,51.0,81.4,77.3,56.1,5,Yes,Yes,No
STUD02446,Female,14,JSS3,83.8,28.8,47.4,53.2,26.4,41.6,57.5,9,Yes,Yes,Yes
STUD02447,Male,14,SS3,84.3,42.6,62.6,72.0,41.1,63.9,69.6,20,Yes,Yes,No
STUD02448,Female,11,JSS2,89.7,74.4,79.9,51.3,70.9,74.9,54.1,1,No,Yes,No
STUD02449,Female,14,JSS2,72.2,43.3,62.6,49.8,37.5,54.1,51.8,4,Yes,No,No
STUD02450,Female,12,JSS1,91.0,87.5,39.6,92.0,74.5,43.6,89.9,2,Yes,Yes,No
STUD02451,Male,11,SS1,74.9,83.2,47.5,46.7,79.5,54.1,50.6,17,Yes,Yes,No
STUD02452,Male,17,JSS1,99.4,62.1,66.0,52.7,65.3,61.0,54.0,12,Yes,Yes,No
STUD02453,Female,20,SS2,97.3,86.0,78.1,52.2,85.0,71.5,55.4,6,No,Yes,No
STUD02454,Female,11,JSS3,76.1,78.4,43.1,68.3,85.0,50.1,69.2,15,No,Yes,No
STUD02455,Female,10,SS2,76.6,20.1,58.8,47.2,17.0,60.1,44.4,13,No,Yes,Yes
STUD02456,Male,15,JSS1,85.2,58.9,72.6,79.2,61.1,70.1,77.2,6,No,Yes,No
STUD02457,Male,10,JSS2,88.5,76.2,52.8,36.7,75.5,52.9,41.2,13,Yes,Yes,No
STUD02458,Female,18,JSS3,90.2,73.9,73.7,74.7,71.9,72.0,80.9,22,Yes,Yes,No
STUD02459,Male,20,JSS1,86.4,66.8,79.5,37.4,68.9,76.5,35.6,9,Yes,Yes,No
STUD02460,Female,10,JSS1,92.3,57.3,36.2,44.6,55.2,33.5,46.9,17,No,Yes,No
STUD02461,Female,11,SS3,80.1,57.2,57.5,68.7,51.8,58.9,67.4,9,Yes,Yes,No
STUD02462,Female,20,SS2,83.2,40.3,45.5,78.6,34.8,54.1,78.2,11,No,Yes,No
STUD02463,Female,10,JSS1,78.7,64.8,39.3,57.5,64.2,46.4,57.1,19,Yes,Yes,No
STUD02464,Female,13,JSS2,100.0,65.8,66.4,68.8,68.1,70.1,67.4,18,No,Yes,No
STUD02465,Female,18,JSS2,100.0,59.0,61.6,55.6,57.7,63.8,49.4,14,Yes,Yes,No
STUD02466,Female,17,SS2,76.5,48.0,56.6,54.5,55.2,61.5,58.3,18,Yes,Yes,No
STUD02467,Female,17,SS1,67.6,58.3,52.9,66.6,63.2,56.7,70.0,12,Yes,Yes,No
STUD02468,Female,20,JSS2,100.0,62.1,56.9,58.1,60.0,61.2,60.3,17,No,No,No
STUD02469,Male,17,SS3,96.5,66.8,68.9,44.2,67.9,69.5,49.6,21,Yes,Yes,No
STUD02470,Male,18,SS3,92.8,73.1,41.3,55.9,76.9,42.5,58.4,5,Yes,Yes,No
STUD02471,Male,18,JSS2,88.1,49.4,61.9,41.6,42.8,65.1,43.0,12,Yes,Yes,No
STUD02472,Male,19,JSS1,78.2,42.9,43.6,36.4,45.0,47.9,31.7,8,Yes,Yes,Yes
STUD02473,Male,15,SS1,76.6,42.7,78.5,53.3,44.1,75.9,57.4,24,No,Yes,No
STUD02474,Male,10,JSS2,96.3,94.4,68.3,40.3,89.9,67.8,40.1,17,Yes,Yes,No
STUD02475,Female,20,JSS2,93.5,49.5,52.8,49.4,56.7,57.5,49.0,19,No,Yes,No
STUD02476,Female,16,SS1,96.9,77.7,47.7,45.7,71.4,53.8,47.1,16,No,Yes,No
STUD02477,Female,13,JSS2,85.5,43.6,41.0,67.0,40.9,31.6,61.9,4,Yes,Yes,No
STUD02478,Female,19,SS1,92.9,61.8,49.3,27.4,57.6,48.5,31.5,24,No,Yes,No
STUD02479,Male,15,SS1,69.0,72.0,81.7,77.0,64.0,74.1,76.7,11,No,No,No
STUD02480,Male,17,JSS2,90.7,72.9,59.3,66.4,64.3,64.1,62.7,1,Yes,Yes,No
STUD02481,Female,19,JSS2,96.4,47.9,54.8,72.7,50.0,53.5,69.3,11,Yes,Yes,No
STUD02482,Female,15,JSS2,79.5,53.0,78.4,61.6,48.9,87.1,66.4,1,Yes,Yes,No
STUD02483,Female,17,SS3,86.9,74.6,48.3,69.0,77.2,54.7,68.3,9,Yes,Yes,No
STUD02484,Female,15,JSS3,98.5,53.9,80.1,44.4,52.5,76.0,44.3,19,No,No,No
STUD02485,Female,14,SS3,92.7,70.7,71.0,65.4,73.0,63.3,68.3,9,No,No,No
STUD02486,Female,12,SS3,84.0,40.8,47.5,61.6,51.2,45.5,56.9,6,Yes,Yes,No
STUD02487,Female,17,SS1,80.4,54.9,60.0,45.7,58.7,63.6,49.4,5,No,Yes,No
STUD02488,Male,18,JSS3,63.7,45.6,74.4,34.6,50.8,77.7,44.0,3,No,Yes,No
STUD02489,Male,16,JSS3,100.0,63.9,87.7,57.7,62.4,85.1,54.9,16,Yes,Yes,No
STUD02490,Male,17,JSS1,95.8,60.6,61.6,81.1,64.1,59.6,78.9,22,Yes,Yes,No
STUD02491,Female,14,JSS1,85.5,65.4,67.9,48.4,71.7,70.7,45.9,13,No,Yes,No
STUD02492,Male,18,JSS1,80.5,100.0,85.8,61.6,97.6,74.8,65.4,21,Yes,Yes,No
STUD02493,Male,11,SS3,80.5,46.2,60.8,55.7,41.6,55.1,57.7,17,Yes,Yes,No
STUD02494,Male,11,JSS2,73.4,43.4,66.3,55.2,39.9,70.4,52.6,18,Yes,Yes,No
STUD02495,Female,17,SS3,92.9,76.2,33.0,52.6,74.2,35.0,51.3,23,No,No,No
STUD02496,Female,18,JSS1,73.7,43.7,68.2,50.7,42.2,67.5,47.7,1,No,Yes,No
STUD02497,Male,18,JSS3,75.7,32.0,53.9,59.1,27.0,49.2,52.2,10,Yes,Yes,No
STUD02498,Female,10,JSS3,100.0,68.1,39.4,51.0,66.2,42.7,49.3,22,Yes,Yes,No
STUD02499,Female,18,JSS2,86.1,87.0,59.8,54.6,89.3,66.0,49.4,5,Yes,Yes,No
STUD02500,Male,13,JSS3,99.1,44.2,51.0,74.3,51.8,56.8,68.7,13,Yes,Yes,No
STUD02501,Female,15,SS3,98.1,35.0,53.2,34.3,33.2,63.2,43.5,13,Yes,No,Yes
STUD02502,Female,12,JSS3,76.3,53.1,53.8,53.1,57.8,53.7,57.6,11,No,Yes,No
STUD02503,Female,10,JSS3,90.8,55.7,58.9,67.4,51.4,68.7,57.7,0,No,Yes,No
STUD02504,Female,11,SS3,96.7,55.4,43.0,47.8,58.0,42.7,44.9,3,No,Yes,No
STUD02505,Male,16,SS1,70.6,88.0,82.6,52.8,82.8,90.2,50.4,10,Yes,Yes,No
STUD02506,Female,16,JSS1,88.1,47.8,40.5,42.5,37.5,46.6,45.6,11,Yes,Yes,Yes
STUD02507,Female,17,SS1,100.0,51.1,62.0,38.2,51.6,64.3,31.4,17,Yes,No,No
STUD02508,Male,11,SS1,86.9,36.9,73.0,37.3,45.9,75.2,41.1,23,Yes,Yes,No
STUD02509,Female,18,JSS1,69.4,72.8,91.2,51.5,72.3,94.8,43.8,3,No,Yes,No
STUD02510,Female,18,SS2,97.7,66.5,71.9,60.7,76.1,68.4,64.0,7,Yes,Yes,No
STUD02511,Female,13,JSS2,100.0,5.2,40.0,72.4,4.1,34.0,70.6,16,No,Yes,Yes
STUD02512,Male,20,JSS1,53.3,60.0,73.8,78.7,60.1,74.6,76.7,2,Yes,Yes,Yes
STUD02513,Female,15,SS2,52.9,36.9,86.0,73.7,40.1,79.7,68.1,8,Yes,Yes,Yes
STUD02514,Female,15,JSS3,100.0,46.4,49.4,73.8,50.7,50.8,65.6,8,No,No,No
STUD02515,Female,15,JSS3,81.4,50.0,86.0,43.3,54.6,80.3,39.2,7,Yes,Yes,No
STUD02516,Male,16,JSS1,62.9,42.4,46.0,84.2,40.0,50.2,73.1,23,No,No,No
STUD02517,Male,13,SS1,87.4,65.4,58.5,36.6,61.3,64.1,33.4,8,Yes,Yes,No
STUD02518,Male,18,JSS2,79.1,70.4,69.7,71.5,65.4,72.5,66.3,5,Yes,No,No
STUD02519,Female,20,JSS2,92.2,56.1,71.9,69.7,65.4,66.0,67.9,12,Yes,Yes,No
STUD02520,Male,20,JSS3,86.8,70.8,70.1,66.0,68.9,72.7,69.1,8,Yes,Yes,No
STUD02521,Female,16,JSS2,91.1,68.4,23.3,44.2,61.4,24.1,48.5,20,Yes,No,No
STUD02522,Male,15,SS3,66.7,62.3,53.5,58.5,64.7,54.7,59.8,11,No,Yes,No
STUD02523,Male,10,SS1,76.9,22.7,39.8,62.0,24.5,44.3,64.2,5,Yes,Yes,Yes
STUD02524,Male,15,SS2,71.2,62.3,15.2,74.6,66.2,28.0,72.3,20,Yes,Yes,No
STUD02525,Female,19,JSS2,73.2,47.0,63.6,55.3,36.9,60.4,55.1,19,Yes,No,No
STUD02526,Female,16,SS1,84.3,75.8,54.3,68.4,72.1,48.7,64.9,1,Yes,Yes,No
STUD02527,Male,11,JSS2,98.0,46.4,65.1,63.5,49.2,69.4,62.7,0,Yes,Yes,No
STUD02528,Female,18,SS3,74.7,60.6,40.0,31.4,61.8,46.2,26.9,19,Yes,Yes,Yes
STUD02529,Female,15,JSS2,89.4,60.4,46.0,42.1,68.1,49.8,52.0,22,No,Yes,No
STUD02530,Male,17,JSS1,98.6,65.5,65.7,70.6,65.6,61.5,61.9,24,Yes,Yes,No
STUD02531,Female,20,SS1,83.5,64.7,50.6,65.6,62.9,53.8,63.3,2,Yes,Yes,No
STUD02532,Male,19,SS1,100.0,26.1,70.5,44.3,26.2,69.3,50.3,1,Yes,Yes,No
STUD02533,Female,15,SS3,100.0,27.0,76.0,60.3,28.7,70.3,65.1,14,Yes,Yes,No
STUD02534,Female,14,JSS3,79.2,55.0,60.0,86.2,53.1,53.9,88.2,10,No,Yes,No
STUD02535,Male,18,SS1,74.3,79.5,53.8,48.7,79.7,57.3,39.2,9,Yes,No,No
STUD02536,Female,12,SS2,85.8,60.7,54.1,60.6,67.0,51.8,64.4,24,Yes,Yes,No
STUD02537,Male,15,JSS2,74.8,54.5,65.1,28.0,55.1,68.4,29.1,8,Yes,Yes,No
STUD02538,Female,15,JSS2,83.0,75.2,92.4,53.4,77.6,87.7,56.7,8,Yes,Yes,No
STUD02539,Male,13,SS2,82.7,54.3,67.5,57.7,54.6,60.4,61.1,24,Yes,Yes,No
STUD02540,Female,13,SS1,77.7,87.7,54.5,45.0,91.2,49.1,39.6,7,Yes,Yes,No
STUD02541,Male,18,JSS3,94.4,58.4,62.3,48.9,57.7,59.9,44.6,24,No,Yes,No
STUD02542,Female,20,SS2,89.2,61.3,55.0,51.1,56.4,56.7,49.1,20,No,Yes,No
STUD02543,Female,14,JSS1,74.0,79.4,66.3,74.8,70.1,68.5,73.0,13,Yes,Yes,No
STUD02544,Female,15,SS1,79.8,62.4,41.1,91.5,66.0,33.8,93.9,9,No,No,No
STUD02545,Female,11,JSS2,80.4,33.0,43.4,67.1,40.5,48.8,61.1,4,No,Yes,No
STUD02546,Male,13,JSS2,80.6,30.5,50.2,53.0,39.4,46.1,54.9,21,Yes,Yes,Yes
STUD02547,Female,12,SS3,90.6,54.6,52.5,71.9,53.1,59.6,71.9,5,No,Yes,No
STUD02548,Male,20,SS3,80.6,76.6,65.0,47.0,75.2,71.3,50.3,18,No,Yes,No
STUD02549,Male,20,JSS3,100.0,35.0,76.3,85.6,38.0,71.7,73.2,23,Yes,No,No
STUD02550,Male,11,SS3,90.0,53.9,71.5,79.3,57.8,63.6,78.6,22,Yes,Yes,No
STUD02551,Female,20,JSS3,80.7,34.1,64.2,48.1,29.0,74.1,45.9,3,Yes,No,No
STUD02552,Male,12,JSS2,91.3,57.6,70.8,37.5,60.3,71.6,42.3,6,Yes,Yes,No
STUD02553,Male,20,JSS2,87.4,85.8,47.3,57.1,86.2,37.9,49.8,13,Yes,Yes,No
STUD02554,Male,18,JSS2,92.5,59.2,50.7,57.5,52.7,52.4,64.6,0,Yes,Yes,No
STUD02555,Male,19,JSS1,90.2,72.1,64.7,77.6,69.8,71.5,72.4,23,Yes,Yes,No
STUD02556,Female,16,JSS2,80.5,59.9,59.3,50.7,57.2,52.7,49.1,19,Yes,Yes,No
STUD02557,Male,11,JSS2,84.6,91.6,80.5,65.6,85.5,76.8,64.8,17,Yes,No,No
STUD02558,Female,11,SS3,94.9,64.4,46.4,56.8,67.0,43.2,56.8,20,No,No,No
STUD02559,Male,16,SS3,89.0,53.7,62.9,34.5,53.6,59.6,36.3,6,Yes,Yes,No
STUD02560,Female,13,SS1,71.8,42.9,47.3,57.5,45.7,46.5,62.5,22,No,Yes,No
STUD02561,Female,13,JSS2,78.5,48.1,85.6,54.4,46.8,71.3,50.6,6,No,Yes,No
STUD02562,Female,19,SS1,79.7,54.5,40.9,59.8,55.4,45.1,57.9,9,Yes,Yes,No
STUD02563,Male,11,SS3,86.8,68.9,49.0,31.5,68.1,51.6,40.1,1,Yes,Yes,No
STUD02564,Male,19,SS3,96.4,66.7,77.4,38.3,55.7,62.4,38.1,17,Yes,Yes,No
STUD02565,Female,17,SS3,90.7,73.3,63.6,30.9,68.7,57.2,36.5,0,No,No,No
STUD02566,Male,11,SS1,90.8,43.9,79.5,70.0,48.5,79.7,66.6,21,Yes,Yes,No
STUD02567,Male,18,JSS1,87.9,64.7,59.7,33.3,60.8,59.4,36.3,11,No,Yes,No
STUD02568,Female,20,SS3,78.4,60.7,49.7,42.9,64.7,38.6,47.1,8,No,Yes,No
STUD02569,Female,15,JSS1,69.8,42.1,40.8,54.0,44.3,45.0,49.2,2,Yes,No,No
STUD02570,Male,17,JSS2,100.0,40.8,91.1,63.5,42.7,82.6,57.3,3,No,Yes,No
STUD02571,Male,20,JSS1,83.6,66.8,62.9,47.0,65.1,66.6,51.0,2,Yes,Yes,No
STUD02572,Male,14,JSS2,89.9,45.3,60.6,56.1,39.8,51.5,50.9,4,No,No,No
STUD02573,Female,18,SS1,81.5,30.5,59.4,58.8,27.5,64.4,54.8,1,No,Yes,No
STUD02574,Male,12,SS1,59.8,73.7,62.8,55.3,71.3,69.8,56.9,9,No,Yes,Yes
STUD02575,Female,17,SS2,77.0,73.6,46.8,56.8,70.8,48.5,50.7,22,No,Yes,No
STUD02576,Male,16,JSS1,87.4,53.2,37.1,45.3,52.6,40.9,50.7,18,No,No,No
STUD02577,Male,18,SS1,86.7,51.5,62.9,53.8,49.1,54.5,59.6,0,Yes,Yes,No
STUD02578,Female,14,JSS3,100.0,64.9,71.8,74.8,65.7,72.7,72.3,8,No,Yes,No
STUD02579,Female,17,SS1,86.9,81.9,44.7,68.3,77.1,61.0,66.2,23,Yes,Yes,No
STUD02580,Male,19,SS3,100.0,70.8,48.4,50.6,68.3,56.8,43.0,0,No,Yes,No
STUD02581,Male,20,JSS1,100.0,50.6,74.2,53.7,54.0,64.7,53.6,22,No,Yes,No
STUD02582,Male,17,SS2,66.6,68.4,68.1,50.7,54.8,69.1,60.8,6,No,No,No
STUD02583,Female,17,JSS3,100.0,17.0,63.1,80.6,19.7,62.8,74.7,15,Yes,Yes,No
STUD02584,Male,13,SS3,93.2,68.7,56.0,55.1,61.5,53.2,46.7,7,Yes,Yes,No
STUD02585,Female,19,JSS3,86.6,55.8,40.2,46.0,61.1,49.0,48.4,15,Yes,Yes,No
STUD02586,Male,19,SS3,68.9,58.7,52.0,44.5,46.3,55.0,40.7,1,Yes,Yes,No
STUD02587,Female,12,JSS1,84.6,64.5,85.8,50.9,65.0,88.4,51.1,14,Yes,Yes,No
STUD02588,Male,19,JSS2,85.5,21.5,57.6,60.9,25.7,50.2,54.5,6,Yes,Yes,No
STUD02589,Female,19,JSS3,31.4,48.1,80.8,76.3,50.3,81.7,72.2,12,Yes,Yes,Yes
STUD02590,Female,12,SS2,88.5,73.8,56.7,56.5,75.1,54.7,57.5,5,No,Yes,No
STUD02591,Female,17,SS1,73.7,44.8,48.2,40.0,40.8,48.0,41.5,2,Yes,Yes,Yes
STUD02592,Female,16,JSS3,79.8,48.5,52.9,58.9,49.2,55.6,60.4,4,No,Yes,No
STUD02593,Male,15,SS3,71.8,64.3,46.8,59.5,62.8,43.5,51.6,14,Yes,Yes,No
STUD02594,Male,12,SS3,97.0,82.3,65.0,46.8,75.9,67.6,53.0,18,Yes,Yes,No
STUD02595,Female,14,JSS3,81.4,65.3,80.7,32.9,65.0,79.8,33.6,0,No,Yes,No
STUD02596,Female,19,JSS3,83.7,62.6,83.5,25.1,65.1,79.3,21.3,8,Yes,Yes,No
STUD02597,Female,16,JSS1,74.4,32.9,92.3,51.7,31.7,92.5,51.2,5,Yes,Yes,No
STUD02598,Male,12,JSS2,100.0,49.1,74.3,63.0,52.0,79.8,64.7,10,Yes,Yes,No
STUD02599,Male,19,JSS2,76.8,60.2,82.6,39.3,55.7,75.2,42.5,21,No,Yes,No
STUD02600,Female,11,JSS3,82.6,57.2,75.5,40.8,55.0,69.3,39.0,4,Yes,Yes,No
STUD02601,Male,12,JSS1,100.0,71.6,18.1,65.5,64.5,12.9,62.0,16,Yes,Yes,No
STUD02602,Female,11,JSS1,81.5,56.5,78.2,69.7,57.4,75.0,70.3,4,Yes,Yes,No
STUD02603,Male,12,JSS3,83.6,71.8,48.6,59.4,69.3,51.1,50.0,5,Yes,Yes,No
STUD02604,Male,13,JSS1,93.3,60.7,57.6,34.6,61.0,58.7,28.3,6,Yes,No,No
STUD02605,Female,13,SS3,90.8,48.0,77.4,50.8,45.2,72.3,52.9,23,Yes,Yes,No
STUD02606,Female,11,SS1,77.5,61.3,54.9,36.1,56.9,56.3,38.7,9,Yes,Yes,No
STUD02607,Male,20,JSS3,70.9,62.5,81.4,92.6,69.7,83.6,84.0,11,Yes,Yes,No
STUD02608,Male,14,JSS2,83.7,30.6,47.2,71.6,33.1,44.5,67.9,17,Yes,Yes,No
STUD02609,Female,10,JSS2,56.2,32.2,31.7,48.6,32.5,38.3,45.9,0,Yes,No,Yes
STUD02610,Female,12,SS3,75.8,68.9,62.2,66.1,70.8,62.2,63.8,6,Yes,Yes,No
STUD02611,Male,15,JSS2,94.1,47.4,56.5,42.9,52.1,61.3,42.1,20,Yes,Yes,No
STUD02612,Female,13,JSS1,97.6,47.7,68.3,65.8,46.5,65.7,65.0,3,No,Yes,No
STUD02613,Male,19,SS3,98.6,67.2,79.8,62.1,66.6,72.7,60.7,10,No,Yes,No
STUD02614,Female,16,JSS1,62.0,58.2,54.0,50.8,62.7,50.4,50.0,8,No,Yes,No
STUD02615,Male,17,JSS3,83.3,33.3,54.3,57.7,42.3,49.1,54.3,21,No,Yes,No
STUD02616,Male,20,SS2,100.0,64.1,68.9,36.7,59.9,75.9,45.1,22,Yes,Yes,No
STUD02617,Male,10,JSS2,77.5,57.9,92.2,71.5,50.9,83.3,69.2,16,Yes,Yes,No
STUD02618,Male,11,SS1,67.8,59.0,47.4,69.7,51.5,60.8,63.3,18,Yes,No,No
STUD02619,Male,20,JSS2,100.0,47.9,69.4,42.6,59.0,66.6,40.8,3,Yes,Yes,No
STUD02620,Male,10,SS1,86.4,51.4,38.8,58.9,58.0,32.5,60.1,16,No,Yes,No
STUD02621,Female,19,JSS1,99.6,77.1,58.2,73.6,79.5,54.5,77.1,2,Yes,Yes,No
STUD02622,Female,10,JSS3,62.9,37.0,89.5,57.4,36.1,93.6,56.7,16,Yes,No,No
STUD02623,Male,18,JSS1,67.3,75.8,63.5,34.7,72.1,63.7,40.3,24,Yes,Yes,No
STUD02624,Male,10,SS1,75.7,72.0,44.8,63.0,71.7,46.4,55.3,4,Yes,Yes,No
STUD02625,Female,15,JSS3,71.5,53.1,61.6,50.5,45.1,58.5,53.9,10,Yes,Yes,No
STUD02626,Female,11,SS2,76.7,71.9,69.4,42.3,66.7,67.5,50.8,11,Yes,No,No
STUD02627,Male,16,JSS1,100.0,76.4,48.4,47.5,73.8,43.7,48.5,2,Yes,Yes,No
STUD02628,Female,20,JSS2,64.8,67.4,52.7,49.9,65.4,58.1,55.1,19,Yes,Yes,No
STUD02629,Female,12,SS1,88.5,73.2,73.2,48.3,69.6,79.7,48.2,1,No,Yes,No
STUD02630,Male,15,JSS3,94.6,54.8,93.4,43.8,52.2,93.5,46.6,17,Yes,No,No
STUD02631,Male,12,SS1,99.9,53.4,71.0,46.0,50.3,72.2,46.6,3,Yes,Yes,No
STUD02632,Male,19,SS3,80.4,81.0,38.3,60.5,66.5,48.6,58.6,13,Yes,Yes,No
STUD02633,Male,11,SS2,98.1,71.0,47.1,67.3,59.9,46.2,71.5,3,Yes,No,No
STUD02634,Female,10,SS3,100.0,68.6,65.7,57.4,64.0,70.1,55.3,10,Yes,Yes,No
STUD02635,Male,15,SS2,94.0,49.5,49.9,41.4,40.9,65.0,38.0,17,No,Yes,No
STUD02636,Female,20,SS1,96.5,68.8,68.2,54.5,71.6,79.1,51.4,10,No,Yes,No
STUD02637,Male,20,JSS3,70.5,61.6,50.1,44.1,58.8,49.1,39.1,6,No,Yes,No
STUD02638,Male,15,JSS2,91.4,70.2,60.4,65.9,59.5,52.4,68.2,9,Yes,Yes,No
STUD02639,Male,19,SS3,91.0,84.2,59.3,52.3,86.9,66.2,56.8,15,Yes,Yes,No
STUD02640,Male,18,SS2,89.1,76.2,53.6,59.0,72.0,42.7,60.2,0,No,Yes,No
STUD02641,Female,16,JSS2,63.0,43.4,94.1,54.3,40.9,79.2,60.4,13,No,Yes,No
STUD02642,Male,20,JSS2,100.0,47.0,61.9,51.9,44.2,60.9,55.7,20,Yes,Yes,No
STUD02643,Male,20,SS3,91.3,59.4,64.5,44.8,55.5,64.2,45.3,6,No,Yes,No
STUD02644,Female,15,JSS3,72.0,49.7,63.5,64.7,51.8,76.1,65.1,9,Yes,Yes,No
STUD02645,Female,20,JSS3,76.1,87.7,43.8,65.2,87.4,43.4,64.7,9,Yes,Yes,No
STUD02646,Female,13,SS1,83.6,49.5,56.9,44.9,58.2,52.9,48.6,3,Yes,Yes,No
STUD02647,Male,20,SS2,51.2,51.9,52.4,68.0,56.8,45.4,66.1,16,Yes,Yes,Yes
STUD02648,Male,11,JSS3,85.7,57.2,63.0,56.1,59.2,61.6,57.9,21,Yes,Yes,No
STUD02649,Female,16,JSS3,94.4,54.9,50.1,50.6,57.7,62.1,56.8,9,Yes,No,No
STUD02650,Male,13,SS1,83.9,50.2,61.7,57.9,47.1,55.0,55.2,22,No,Yes,No
STUD02651,Male,19,JSS1,87.2,59.9,61.6,59.9,60.6,64.0,57.6,19,Yes,Yes,No
STUD02652,Female,19,JSS2,100.0,76.1,55.7,54.3,78.6,56.3,60.2,7,Yes,Yes,No
STUD02653,Male,20,JSS3,85.4,57.7,67.2,27.5,56.1,66.1,35.4,4,No,Yes,No
STUD02654,Male,19,SS2,76.3,47.6,47.1,91.6,53.9,49.7,82.2,15,Yes,Yes,No
STUD02655,Male,14,JSS2,80.8,54.2,76.6,39.7,56.7,74.2,35.2,17,No,Yes,No
STUD02656,Male,15,JSS3,92.1,68.3,58.3,53.3,67.5,58.2,49.9,23,Yes,Yes,No
STUD02657,Male,10,SS3,80.2,39.3,39.7,73.0,39.7,45.2,73.9,23,Yes,Yes,No
STUD02658,Female,20,JSS3,69.7,52.2,54.8,54.1,47.3,55.7,52.4,13,Yes,Yes,No
STUD02659,Female,19,SS3,77.4,35.6,50.5,73.0,35.5,49.6,64.5,17,No,Yes,No
STUD02660,Female,17,JSS1,84.6,57.8,61.2,60.6,61.9,61.2,61.2,24,No,Yes,No
STUD02661,Female,15,JSS3,69.4,66.3,47.9,62.6,65.7,45.9,65.5,20,Yes,No,No
STUD02662,Female,10,JSS3,94.4,60.5,70.2,26.0,60.1,77.5,16.3,0,Yes,Yes,No
STUD02663,Male,14,JSS1,92.5,55.6,44.1,69.4,54.2,53.4,68.5,8,Yes,Yes,No
STUD02664,Female,16,JSS1,76.2,39.4,73.2,60.2,45.2,77.5,63.6,24,Yes,Yes,No
STUD02665,Female,11,JSS2,91.0,64.9,65.0,26.6,66.2,69.6,23.1,14,Yes,Yes,No
STUD02666,Male,11,JSS1,87.0,43.9,59.7,21.6,48.7,62.4,28.8,7,Yes,Yes,Yes
STUD02667,Male,18,JSS1,86.1,82.8,40.4,53.8,83.0,38.8,56.0,5,Yes,Yes,No
STUD02668,Female,10,JSS3,92.4,45.1,47.6,47.0,44.3,51.2,47.3,22,Yes,No,No
STUD02669,Female,20,SS3,79.0,75.1,91.7,44.0,71.4,88.6,48.5,10,Yes,Yes,No
STUD02670,Male,16,JSS1,96.4,46.0,44.1,52.9,42.1,42.7,52.4,9,Yes,No,No
STUD02671,Female,12,JSS1,86.9,37.9,53.0,46.6,43.0,55.0,41.9,6,Yes,Yes,No
STUD02672,Male,19,SS3,81.0,100.0,55.2,61.8,89.1,49.1,53.8,7,Yes,Yes,No
STUD02673,Male,18,SS3,75.7,31.3,59.9,49.5,37.7,53.4,58.4,7,No,Yes,No
STUD02674,Male,19,JSS3,95.0,77.2,61.2,36.8,67.1,69.0,40.3,15,Yes,Yes,No
STUD02675,Male,11,JSS1,86.2,59.6,39.7,46.9,63.7,44.1,48.1,2,No,Yes,No
STUD02676,Female,18,SS1,97.4,58.9,65.3,29.4,58.3,70.6,28.5,11,No,Yes,No
STUD02677,Male,18,JSS3,77.4,54.8,71.3,35.0,55.0,71.7,29.0,6,Yes,Yes,No
STUD02678,Female,14,JSS2,86.4,51.8,82.6,65.0,44.6,75.5,72.1,6,Yes,Yes,No
STUD02679,Female,14,JSS2,88.2,33.6,78.4,46.6,40.8,85.3,46.7,11,Yes,Yes,No
STUD02680,Male,20,JSS3,60.0,62.8,73.5,40.8,63.3,71.3,50.1,21,Yes,Yes,No
STUD02681,Female,20,JSS3,90.7,65.1,66.8,47.2,60.2,70.0,50.9,5,No,Yes,No
STUD02682,Male,15,SS3,65.8,59.1,51.4,76.6,52.9,57.8,74.8,13,Yes,No,No
STUD02683,Male,12,SS2,75.0,62.5,55.3,32.5,72.9,63.9,30.5,17,Yes,Yes,No
STUD02684,Male,17,SS1,70.5,60.5,47.0,59.8,61.8,53.0,59.1,12,Yes,Yes,No
STUD02685,Male,13,JSS3,84.9,42.9,53.9,49.9,49.5,53.3,54.7,17,Yes,Yes,No
STUD02686,Female,20,SS3,97.8,61.4,88.0,67.3,52.9,86.9,62.0,2,Yes,Yes,No
STUD02687,Female,14,SS1,78.7,25.7,95.0,58.1,32.7,93.4,51.8,14,No,Yes,No
STUD02688,Female,19,SS3,76.0,49.6,54.2,39.7,57.8,57.5,41.8,5,Yes,Yes,No
STUD02689,Female,13,JSS2,59.9,56.3,68.6,58.6,55.4,70.5,53.4,21,Yes,Yes,Yes
STUD02690,Male,13,JSS3,82.1,83.2,44.6,28.2,82.0,46.2,27.5,4,Yes,Yes,No
STUD02691,Male,17,SS2,98.1,67.9,59.5,46.1,77.2,67.1,42.0,5,No,Yes,No
STUD02692,Male,19,SS3,86.9,83.5,67.0,68.6,80.1,72.5,70.2,5,Yes,Yes,No
STUD02693,Female,12,SS1,100.0,88.2,67.7,35.4,85.2,66.0,34.9,14,Yes,No,No
